Value of chosen SMILES: [[0.8558313  1.         0.23424544]]
Value of chosen SMILES: [[1.         1.         0.25302768]]
Value of chosen SMILES: [[0.00209737 0.97611194 0.12103506]]
Value of chosen SMILES: [[2.64481170e-04 1.00000000e+00 2.73972603e-01]]
Value of chosen SMILES: [[0.80851827 0.00311973 0.26349614]]
Value of chosen SMILES: [[1.         1.         0.12001247]]
Value of chosen SMILES: [[1.         1.         0.21112601]]
Value of chosen SMILES: [[0.40801126 1.         0.13582677]]
Value of chosen SMILES: [[0.07691053 1.         0.29398955]]
Value of chosen SMILES: [[0.86010526 1.         0.22727273]]
Value of chosen SMILES: [[0.7296298  1.         0.11385199]]
Value of chosen SMILES: [[0.37216499 1.         0.10566188]]
Value of chosen SMILES: [[1.         1.         0.26847978]]
Value of chosen SMILES: [[0.99407711 1.         0.16098485]]
Value of chosen SMILES: [[1.         1.         0.14069264]]
Value of chosen SMILES: [[1.        1.        0.1962677]]
Value of chosen SMILES: [[0.85963276 1.         0.16571195]]
Value of chosen SMILES: [[8.16180189e-05 1.00000000e+00 2.74953789e-01]]
Value of chosen SMILES: [[0.53827564 1.         0.26296296]]

