Iteration,Chosen SMILES,Value of Chosen SMILES
0,O1CCN(CC1)CCCNC(=O)/C=N/O,0.3017389391890729
1,N(C(=O)CCCCCCC/C=C\CCCCCCCC)CCO,0.3100793598013509
2,O=C(C=1C=CC(=CC1)NCCCC)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,0.3455640538231012
3,C(CCCCCCC/C=C\C/C=C\C/C=C\CC)(O)=O,0.3414766712649374
4,[C@@H]1(/C=C/[C@@H](O)CCCCC)[C@H]([C@@H](O)C[C@H]1O)C/C=C\CCCC(O)=O,0.3345322856647795
5,C(CCCC/C=C\C/C=C\C/C=C\CCCCC)(O)=O,0.33828511378135667
6,[C@]12([C@@]([C@@H](C=3C=C(O)OC3)CC1)([C@H](O)C[C@H]4[C@H]2CC[C@@H]5C[C@@H](O[C@@H]6O[C@H](C)[C@H]([C@H](C6)O)O[C@@H]7O[C@H](C)[C@H]([C@H](C7)O)O[C@@H]8O[C@H](C)[C@H]([C@H](C8)O)O)CC[C@]45C)C)O,0.34925686412219953
7,[N+](CCCCCCCCCCCCCCCC)(C)(C)C,0.23174153222716964
8,O1C(C(O)C(O)C(NC(=O)C)C1OCCCCCCCCC)CO,0.3421905842591876
9,C1(C2(C3(C4(C2(C5(C(C3(Cl)C15Cl)(C4(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)=O,0.37250768535205725
10,O(C(COC(=O)CCCCCCC)COC(=O)CCCCCCC)C(=O)CCCCCCC,0.23069924328126273
11,S=C(NNC(=O)C1CCC(CC1)CCCCC)NCC,0.3653131416699623
12,P(OCC(CCCC)CC)(OCC(CCCC)CC)(OCC(CCCC)CC)=O,0.2550334778061078
13,N(C(SSC(N(CC)CC)=S)=S)(CC)CC,0.28450098841333876
14,C(CC1NCCCC1)(C2CCCCC2)C3CCCCC3,0.0
15,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCC,0.36702485924349804
16,O(C(=O)[C@@H](N)CCC/N=C(/NN(=O)=O)\N)C,0.30147227398316956
17,O[C@@]12[C@H]3[C@@H]([C@@]4([C@](O)(CC3)C[C@@H](O[C@@H]5O[C@H]([C@H](O)[C@@H](O)[C@H]5O)C)C[C@H]4O)CO)[C@H](O)C[C@@]1([C@H](CC2)C=6C=C(OC6)O)C,0.3764175806653309
18,C(O)(=O)CCCCCCC/C=C\CCCCCCCC,0.3228875191306005
19,ClCCN(P1(OCCCN1)=O)CCCl,0.3068666882361444
