Iteration,Acquisition Function Value,Chosen SMILES,Value of Chosen SMILES
0,0.44264060142933914,COc1ccc(S(=O)(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)cc1,0.46288427256829306
1,0.4380952715727489,CCOC(=O)COc1ccc(S(=O)(=O)N2CCN(c3ccccc3F)CC2)cc1,0.38613719289499515
2,0.47673717335252574,COc1ccc(S(=O)(=O)N2CCN(CC(=O)Nc3cccc(F)c3)CC2)cc1,0.4443590391986954
3,0.4334808590270857,CCOc1ccc(NC(=O)CN2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)cc1,0.4190639915786087
4,0.43742148375122303,COc1ccc(S(=O)(=O)N2CCN(CC(=O)Nc3cc(C(F)(F)F)ccc3Cl)CC2)cc1,0.45093036178551493
5,0.42711018394304673,COc1ccc(C)cc1NC(=O)CN1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,0.4629344450011246
6,0.42067521123470714,O=C(CN1CCN(S(=O)(=O)c2ccc(F)cc2)CC1)Nc1ccccc1F,0.45430976863780853
7,0.6901273138169616,Cc1ccc(S(=O)(=O)N2CCN(Cc3ccccc3C(F)(F)F)CC2)cc1,0.5558880730243994
8,0.9305832935155545,Cc1ccc(S(=O)(=O)Cc2ccc(C(=O)N3CCN(Cc4ccccc4)CC3)o2)cc1,0.4209103928462501
9,0.8121209896988293,Cc1ccc(CC(=O)N2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1,0.524942221856134
10,0.4661868117491566,O=C(CN1CCN(S(=O)(=O)c2ccc(F)cc2)CC1)Nc1ccc(Cl)c(C(F)(F)F)c1,0.4473215008209654
11,0.43748510406256225,CCOc1ccc(C(=O)CN2CCN(S(=O)(=O)c3ccc(F)cc3)CC2)cc1,0.4149412455863098
12,0.583723499235364,CCn1c(=O)cc(OCC(=O)N2CCN(c3cccc(C(F)(F)F)c3)CC2)c2ccccc21,0.3832698512096055
13,0.4466819121544667,CCC(=O)Nc1ccc(S(=O)(=O)N2CCN(c3ccc(F)cc3)CC2)cc1,0.5059795683186915
14,0.5896030581435348,Cc1ccc(S(=O)(=O)N2CCCC(NC(=O)N3CCN(c4ccccc4)CC3)C2)cc1,0.46178656623073394
15,1.0088001288077484,Cc1ccc(S(=O)(=O)N(C)CC(=O)N2CCN(c3ccccn3)CC2)cc1,0.4638648370503104
16,0.5048117944411207,Cc1ccc(S(=O)(=O)N(CC(=O)N2CCN(c3ccc(F)cc3)CC2)C2CCCCC2)cc1,0.4451856380993877
17,0.43242156730998127,CC1CCN(S(=O)(=O)c2ccc(NC(=O)CN3CCN(c4ccccc4)CC3)cc2)CC1,0.395761781258512
18,0.8742689757655568,COc1ccc(N2CCN(C(=O)c3ccc(C)cc3Cl)CC2)cc1,0.463643838685173
19,0.4566856407994109,COc1ccc(N2CCN(C(=O)CCNS(=O)(=O)c3ccccc3)CC2)cc1,0.4254593440097495
