Iteration,Acquisition Function Value,Chosen SMILES,Value of Chosen SMILES,f1,f2,f3
0,0.4571359344203091,COc1ccccc1OCC(=O)Nc1nc(C)c(N(C)S(=O)(=O)c2ccccc2)s1,0.3541885635787084,6.7,0.5690032642279821,0.2204724409448819
1,0.4531328306421127,COc1ccccc1N(C)S(=O)(=O)c1ccc(C(=O)OCC(=O)NCC(F)(F)c2ccccc2C)cc1,0.334597975097461,3.8,0.3977377280739039,0.2814814814814815
2,0.485063103259283,COc1ccc2nc(NC(=O)C3CCCN(S(=O)(=O)c4ccccc4)C3)sc2c1,0.3772198285123981,3.8,0.6693125731818972,0.2125984251968504
3,0.4653608327416541,COC(=O)c1ccc(S(=O)(=O)N(C)c2ccccc2OC)cc1,0.4448123072569542,3.8,0.7841038810939368,0.2523364485981308
4,0.6065448384012864,COc1ccc(NC(=O)CN(C)S(=O)(=O)c2ccccc2)cc1C,0.4403629198578095,5.6,0.868759365311916,0.22321428571428573
5,0.6736659863216159,COc1ccc(OC)c(NC(=O)CC=CN(C)S(=O)(=O)c2ccccc2)c1,0.3838969211199354,5.6,0.7491656340639433,0.19672131147540983
6,1.1728380834465846,COc1ccc(S(=O)(=O)OC)cc1N1CCN(CC(=O)Nc2cccc(F)c2)CC1,0.3738137350704667,5.6,0.6624555070925421,0.2109375
7,0.5824259402807217,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccccc2)cc1OC,0.4277839544433037,6.7,0.8198360203225946,0.22321428571428573
8,0.4356886432830579,COc1ccc(NC(=O)CN(C)S(=O)(=O)c2ccccc2)cc1OC,0.4098278921814168,6.7,0.8118013558476713,0.20689655172413793
9,0.6680880868731917,COc1ccccc1N(C)S(=O)(=O)c1cccc(C(=O)O)c1,0.4524329339583426,3.2,0.9126010371302701,0.22429906542056074
10,0.5844541085221251,CCc1ccc(S(=O)(=O)N(C)c2ccccc2OC)cc1OC,0.4320532159228307,3.2,0.8138811188571743,0.22935779816513763
11,0.4510208879953375,COc1ccccc1N(C)S(=O)(=O)c1ccc(C(C)=O)cc1,0.4543016571389622,3.2,0.79498368706065,0.25961538461538464
12,0.569432093070269,CCN(C)S(=O)(=O)c1ccc(OC)c(NC(=O)CSc2ccccc2)c1,0.3841732711620225,2.9,0.6966205627395524,0.211864406779661
13,0.5351022592109371,COc1ccc(S(=O)(=O)N(C)c2ccccc2OC)cc1C,0.4586567950808408,2.9,0.8495552248366148,0.24761904761904763
14,0.8400634423555206,COc1ccc(N(CC(=O)Nc2ccccc2C)S(C)(=O)=O)c(OC)c1,0.4033148648276743,3.1,0.7997591609389124,0.2033898305084746
15,0.4519519862270764,COc1ccccc1N(C)S(=O)(=O)c1ccc(O)c(C)c1,0.4901019790824206,3.1,0.9423228803789063,0.2549019607843137
16,0.9377305370741692,COc1ccccc1NC(=O)c1cccc(C)c1,0.4314549638088317,5.0,0.8953091412058717,0.2079207920792079
17,1.116112677923717,COc1ccc(F)cc1S(=O)(=O)n1cc(C=N)nc1-c1ccccc1,0.4380398193861222,5.0,0.7099518684609581,0.2702702702702703
18,0.4647217320730156,COc1ccccc1N(C)S(=O)(=O)c1cccc(C(C)=O)c1,0.4222725399931842,5.7,0.79498368706065,0.22429906542056074
19,0.4585689822456824,CCc1ccc(S(=O)(=O)N(C)c2ccccc2OC)cc1O,0.4656493750020082,5.0,0.9193564034645859,0.2358490566037736
