Iteration,Acquisition Function Value,Chosen SMILES,f1,f2,f3,Hypervolume
0,0.46705026934574695,OC=1N(C(O)=C2C1C(C=CC2)C)C=3C=C(C(=O)N4CCN(C5=CC=C(OC)C=C5)CC4)C=CC3,10.6,0.5752591771919907,0.2,0.5910584377111304
1,0.5606159653453032,O1N=C(C(=C1C)C(=O)N/N=C/C2=CC(OC)=CC=C2)C=3C=CC=CC3,9.0,0.5723663427152658,0.211864406779661,0.5910584377111304
2,0.5468579795444697,ClC1=CC2=C(C=C(N=C2C=C1)C=3C(=CC=CC3)C)C(=O)N4N=CC=C4,9.3,0.5254742652565576,0.211864406779661,0.5910584377111304
3,0.7205963639010408,ClC=1C=CC(C(=O)C=2C(=NN(C2O)C3=CC=CC=C3)C)=CC1,9.3,0.7489540754664769,0.2912621359223301,0.6756371419486837
4,0.6979133999828676,O(C=1C=C(C(=O)N2N=C(N=C2N)C=3C=CC=CC3)C=CC1OC)C,7.5,0.7909659087002993,0.23008849557522124,0.6888576225883586
5,0.57004893445824,O=C(N1CCN(CC1)C2=NC=CC=C2)C=3C=4C(N=C(C3)C5=CC=C(OC)C=C5)=CC=CC4,10.2,0.4897665204207807,0.2222222222222222,0.689443311538767
6,0.6325882365038875,O=C(NC1=CC=C(OC)C=C1)C2CCN(C=3N=C(N=C(C3)C)C=4C=CC=CC4)CC2,9.4,0.688572683898207,0.2153846153846154,0.689443311538767
7,0.6188991582329274,ClC=1C=CC(C(=O)N2CCN(C3=C(N=NC(O)=C3)C4=CC=CC=C4)CC2)=CC1,7.9,0.7362347199292496,0.20634920634920634,0.6894433115387669
8,0.680704026704467,O(C(C(=O)N1CCN(C2=CC=C(OC)C=C2)CC1)C3=CC=CC=C3)C(=O)C,9.7,0.7596480168770574,0.2032520325203252,0.6901285048866304
9,0.6258368766078147,S(C=1N=C2C(=C(C1)C)C=CC=C2)CCC(=O)NC3=CC=C(OC)C=C3,9.0,0.6549448364935244,0.2222222222222222,0.6901285048866304
10,0.6136423832069685,S=C1N(CC2OCCC2)C(=O)C=3C(N1)=CC(C(=O)N4CCN(CC4)C5=CC=CC=C5)=CC3,9.6,0.6184527801238909,0.16312056737588654,0.6901285048866306
11,0.7729626533811417,S1C(NC(=O)C=2C=CC=CC2)=C(C(N3CCOCC3)C=4C(OC)=CC=CC4)C=C1CC,7.7,0.5667324891004362,0.16666666666666666,0.6901285048866306
12,0.7559145255465711,O=C1N(N)C(=NC2=C1C=CC=C2)C=3C=CC(OC)=CC3,8.2,0.7185048490842184,0.28,0.6901285048866306
13,0.6531585370581177,ClC1=CC=C(CN2N=C(C=C2NC(=O)C)C=3C=CC=CC3)C=C1,9.7,0.7807043282632853,0.24545454545454545,0.6951110546022365
14,0.6466532862540916,N1(C=2N=C(N=C(C2)C)C3=CC=CC=C3)CCN(C4=CC=CC=C4)CC1,9.8,0.7314711284492917,0.20833333333333334,0.6951110546022365
15,0.6881879085402077,O1C(=NN=C1C=2C=CC=CC2)C3=CC=C(NC(=O)CC4=CC=C(OC)C=C4)C=C3,10.2,0.525087507941757,0.2283464566929134,0.6953845448995181
16,0.8149904350393686,S1C=2N(C=3C1=CC(OC)=CC3)C=C(N2)C4=CC=CC=C4,8.4,0.5492096508976334,0.22641509433962265,0.6953845448995181
17,0.7775185236669333,ClC1=CC=2C(=C(N3CCN(CC3)C(OCC)=O)C(O)=NC2C=C1)C4=CC=CC=C4,7.5,0.6849841442504152,0.18461538461538463,0.6953845448995181
18,0.6814976083244311,O(C(=O)N1CCN(C=2C=CC(NC(=O)CN3N=C(N=N3)C=4C=CC=CC4)=CC2)CC1)C(C)(C)C,9.3,0.6199435222757287,0.21739130434782608,0.6953845448995181
19,0.7663737783485466,S=C1N(C(=C(C(N2CCN(CC2)C3=CC=C(OC)C=C3)=N1)C(=O)C)C)C4=CC=CC=C4,7.9,0.43690253420862274,0.2230769230769231,0.6953845448995181
