Iteration,Acquisition Function Value,Chosen SMILES,Value of Chosen SMILES
0,0.2883641479636674,O=C(CN1CCN(S(=O)(=O)c2ccc(F)cc2)CC1)Nc1ccccc1F,0.45430976863780853
1,0.2920660492315471,CS(=O)(=O)N(CC(=O)Nc1cccc(F)c1)c1nc(-c2ccc(F)cc2)cc(C(F)(F)F)n1,0.43446882763650985
2,0.2949498713625018,Cc1ccsc1C(=O)Nc1ccc(N2CCCC2)c(S(=O)(=O)c2ccc(F)cc2)c1,0.4059642265677368
3,0.29471666078012293,Cc1ccc(NC(=O)Cn2nnc(-c3ccccc3F)n2)cc1,0.47446657171275675
4,0.3008529590501998,Cc1ccnc(-c2ccccc2OCC(=O)Nc2ccc(F)cc2)n1,0.42400194785606937
5,0.29951415695966266,Cc1ccc(CNc2nc(-c3ccccc3)nn2C(=O)Nc2ccc(F)cc2F)cc1,0.3740162149477886
6,0.2990525042911484,O=C(Cc1cccs1)Nc1ccc(S(=O)(=O)Nc2nccc(F)n2)cc1,0.4048406698005941
7,0.29848100726590343,Cc1ccc(S(=O)(=O)OC(=O)Nc2ccccc2Sc2cc(F)c(F)cn2)cc1,0.4477435190335761
8,0.30064947717589285,CCc1nnc(NC(=O)c2ccc(S(=O)(=O)c3ccccc3)cc2)s1,0.445762593557914
9,0.3002867397099439,Cc1ccc(S(=O)(=O)NC(=O)CSc2nc3ccccc3s2)cc1,0.47272840576044906
10,0.3019022796188102,Cc1ccc(S(=O)(=O)N(F)Cc2ccccc2F)cc1,0.5480242887797848
11,0.2766034522489332,Cc1ccc(S(=O)(=O)C(=O)c2c(F)cccc2F)cc1,0.5655067857731177
12,0.27352904769013264,Cc1ccc(S(=O)(=O)C(=S)c2ccc(F)cc2)cc1,0.5630655591712357
13,0.27978187590829917,CC(=O)Nc1cc(F)ccc1S(=O)(=O)c1ccc(C)cc1,0.5663605305115007
14,0.27853367124663325,CC(=NS(=O)(=O)c1ccc(C)cc1)c1cccc(C(F)(F)F)c1,0.591542702881374
15,0.2740563495298428,Cc1ccc(S(=O)(=O)Nc2ccc(C(F)(F)F)cc2)cc1,0.6760407414681207
16,0.2447707673481574,Cc1ccc(S(=O)(=O)NOC(=O)CNS(=O)(=O)c2ccc(C(F)(F)F)cc2)cc1,0.4925160156781044
17,0.24578857934929305,Cc1ccc(S(=O)(=O)c2ncc(C(F)(F)F)cc2Cl)cc1,0.6086891471917538
18,0.24703468497828213,Cc1ccc(S(=O)(=O)CNc2cccc(C(F)(F)F)c2)cc1,0.6496441236749327
19,0.24907957443374298,Cc1ccc(S(=O)(=O)Cc2ccc(C(=O)CC3=CSN(C)N=C3C(F)(F)F)o2)cc1,0.4274803873194274
