Iteration,Acquisition Function Value,Chosen SMILES,Value of Chosen SMILES
0,0.4117749974754405,CC(Oc1ccc(Cl)cc1)c1ccnn1S(=O)(=O)c1ccccc1,0.42647984282103485
1,1.0666747537185342,Cc1ccc(CNc2ccc3nnc(-c4ccccc4)n3n2)cc1,0.4344840158953034
2,0.479739061435871,Clc1ccc(CNc2ccc3nnc(-c4ccccc4)n3n2)cc1,0.3786974967752938
3,0.4154967224133757,COC(=O)c1ccc(CSc2ccc3nnc(-c4ccccc4)n3n2)o1,0.2981113541812127
4,0.7540097558355543,Cc1ccc(-c2nc(N)n(C(=O)Cc3ccccc3)n2)cc1,0.523216951649402
5,0.4496490397503419,Nc1nc(-c2ccccc2)nn1C(=O)Cc1ccccc1,0.4103618590951291
6,0.5014152265570346,CCC(=O)n1nc(-c2ccc(Cl)cc2)nc1NCc1ccccc1,0.43401429283209264
7,0.8114838127307467,CSc1nc(-c2ccccc2)nn1C(=O)c1ccc(C)cc1,0.45660513499914984
8,0.48608156081734544,CCC(=O)n1nc(-c2ccccc2)nc1SCC(=O)Nc1ccc(C)cc1,0.42454643118837493
9,0.5199329517607612,CC(=O)n1nc(-c2ccccc2)nc1NCc1ccc(F)cc1,0.4438270912317167
10,0.49651243857114596,COCC(=O)n1nc(-c2ccccc2)nc1NCc1ccc(F)cc1,0.41697733660547814
11,0.416343484765354,CCC(=O)n1nc(-c2ccccc2)nc1NCc1ccccc1,0.39548491151025045
12,0.504258854070623,Cc1ccc(-n2c(-c3ccccc3)cc(=O)nc2C)cc1,0.5314462278234438
13,0.4100390525844377,CCNC(=O)c1ccc(-n2nc(C)cc2-c2ccccc2)cc1,0.5441724317257169
14,0.6164934195659114,Cc1ccc(C(=O)OCCc2c(C)nn(-c3ccccc3)c2O)cc1,0.4771627252229109
15,0.42990570121785504,Cc1nn(-c2ccccc2)c(O)c1C(=O)c1ccc(Cl)cc1,0.4670567029045832
16,0.7808177035032531,Cc1ccc(N=Nc2c(O)nn(-c3ccccc3)c2N)cc1,0.4940620177748517
17,0.5007078469756419,Nc1c(-c2ccccc2)cnn1-c1ccc(C(=O)O)cc1,0.4788854568788668
18,0.515444925821494,Cc1nn(-c2ccccc2)c(-c2ccccc2)c1C(=O)O,0.46540824036108736
19,0.4318450374680208,Cc1ccc(-c2nn(-c3ccccc3)cc2CSC(=N)N)cc1,0.43142532416279245
