Iteration,Acquisition Function Value,Chosen SMILES,f1,f2,f3,Hypervolume
0,0,O=C([C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC3)C[C@@H](O)CC4)C)CC2)C[C@H]1C#N)C)C,7.7,0.7247440803713315,0.029411764705882353,0.5283901907340162
1,0,C=1C(O)=CC(O)=C2C(=O)C(=COC12)C3=CC=C(O)C=C3,7.2,0.6318329361180623,0.20952380952380953,0.5290299086870082
2,0,S(=O)(=O)(N)C1=CC=C(C=C1)CCNC(=O)C2=NN(C(=O)C3=C2C=CC=C3)CCC,9.5,0.6050917683084363,0.3217391304347826,0.6654036955260065
3,0,S(=O)(=O)(NC=1SC=C(N1)CC(OCC)=O)C=2C=3C=4C(N(C(=O)C4C=CC3)CC)=CC2,9.3,0.5601239969990397,0.183206106870229,0.6654036955260065
4,0,BrC=1C=C2C(=O)N(CCCC(=O)N3CCN(CC3)C4=NC=CC=C4)C(=S)NC2=CC1,9.2,0.558134501912815,0.15441176470588236,0.6654036955260065
5,0,O1C2=C(C(=C1C)C3=CC=CC=C3)C(NC(OCC)=O)=C(O)C=C2,7.8,0.6887325275718726,0.1826086956521739,0.6654036955260065
6,0,ClC=1C=CC(C(=O)NC=2SC=C(N2)C=3SC=CC3)=CC1,7.6,0.7544156944067114,0.1834862385321101,0.6667076712416452
7,0,O1C2=C(OC1)C=C(C(N(=O)=O)=C2)/C=N/C3=CC=CC=C3,8.5,0.48772346097389474,0.1415929203539823,0.6667076712416451
8,0,S1C=2C(C(C3=CC=C(NC(=O)NC4=CC(=CC=C4)C)C=C3)=C1)=C(N=CC2C#CCN)N,9.0,0.3521340013348192,0.24031007751937986,0.6667076712416451
9,0,S(=O)(=O)(N1C(CCC1)C(=O)NC2=C(OC)C=C(OC)C=C2)C3=C4N=CC=CC4=CC=C3,9.4,0.6314732918389301,0.2230769230769231,0.6681298798005249
10,0,S1C2=NNC(=C2C=C1C(=O)NCC3=CC=C(N(C)C)C=C3)C4=CC=CC=C4,9.4,0.5462477042590622,0.21138211382113822,0.6681298798005249
11,0,CC=1C=CC=NC1NC2=NC(=CS2)C=3C=CC=CN3,7.6,0.7873767999753963,0.1651376146788991,0.6684505953896477
12,0,BrC=1C=CC(C=2N(CC=3OC=CC3)C(S)=NN2)=CC1,6.8,0.7429346451941371,0.21153846153846154,0.6692489158252712
13,0,O=C(NC(C)(C)C)C(=O)NNC(=O)C=1C=CC=CC1,8.1,0.5048481792124511,0.10909090909090909,0.6692489158252712
14,0,S1C(NC(=O)CSC2=NC3=C(C=C2C#N)CCCC3)=NN=C1SCC,8.5,0.5947281289003314,0.08333333333333333,0.6692489158252711
15,0,O1N=C(C2=C(N(=O)=O)C=CC=C2)C=C1C(O)NCCC3=CC=C(C=C3)C,7.8,0.38349510383861185,0.2608695652173913,0.6692489158252711
16,0,O1C(=NC(=C1NCC=2OC=CC2)C#N)C3=CC(=CC=C3)C,8.2,0.7871985704331768,0.2,0.6732075324628556
17,0,OC1CCN(C2=NC=NC=3NC=C(C23)C=4C=CC=CC4)CC1,8.0,0.7622255146626498,0.14285714285714285,0.6732075324628556
18,0,O=C(N1N=C(N=C1N)C=2C=CC=CC2)CC3=CC=CC=C3,10.1,0.7980546625478765,0.21100917431192662,0.6939705523916561
19,0,ClC=1C=CC(/C(/N2CCOCC2)=N\S(=O)(=O)C3=CC=C(C=C3)C)=CC1,8.2,0.6078692752119995,0.32710280373831774,0.7000342463661976
